,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
9992,Jeep Compass,Jeep,2018,Latitude 4WD,"18,900","83,954",Harrisburg, PA,Black,Black,0,1,Personal,00:02:05,"2021,11,02"
9993,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"34,495","41,895",El Paso, TX,Silver,Unknown,0,1,Personal,00:02:05,"2021,11,02"
9994,Toyota Corolla,Toyota,2020,LE CVT,"18,425","52,265",Live Oak, TX,White,Black,0,1,Personal,00:02:05,"2021,11,02"
9995,Ford Super Duty F-250,Ford,2017,King Ranch Crew Cab 6.75' Bed 4WD,"44,461","127,131",Columbus, TX,White,Brown,0,2,Personal,00:02:05,"2021,11,02"
9996,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"28,441","34,610",Citrus Heights, CA,White,Unknown,0,3,Personal,00:02:08,"2021,11,02"
9997,Jeep Grand Cherokee,Jeep,2018,Laredo 4WD,"19,998","100,215",Cortlandt Manor, NY,White,Black,0,1,Personal,00:02:08,"2021,11,02"
9998,Nissan Altima,Nissan,2016,2.5 S,"13,495","84,909",Fresno, CA,Black,Black,0,2,Personal,00:02:08,"2021,11,02"
9999,Kia Optima,Kia,2019,LX,"18,495","49,184",Fresno, CA,Silver,Black,0,1,Personal,00:02:08,"2021,11,02"
10000,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,"14,400","52,800",Philadelphia, PA,White,Black,1,3,Fleet,00:02:08,"2021,11,02"
10001,Toyota Corolla,Toyota,2020,LE CVT,"19,999","38,022",San Diego, CA,Silver,Black,0,2,Personal,00:02:08,"2021,11,02"
10002,Nissan Sentra,Nissan,2019,S CVT,"11,985","83,384",Duluth, GA,Black,Black,0,1,Fleet,00:02:08,"2021,11,02"
10003,Toyota Corolla,Toyota,2020,LE CVT,"17,300","43,046",Houston, TX,White,Black,0,1,Personal,00:02:08,"2021,11,02"
10004,Ford F-150,Ford,2018,Lariat SuperCrew 5.5' Box 4WD,"41,995","36,833",Billings, MT,White,Unknown,0,1,Personal,00:02:08,"2021,11,02"
10005,Ford F-150,Ford,2017,Lariat SuperCrew 5.5' Box RWD,"23,377","218,568",Fayetteville, NC,White,Beige,0,1,Personal,00:02:08,"2021,11,02"
10006,Nissan Sentra,Nissan,2018,SV CVT,"10,995","108,158",San Diego, CA,Silver,Black,0,1,Fleet,00:02:08,"2021,11,02"
10007,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD","36,995","18,496",Sterling Heights, MI,Black,Black,0,1,Personal,00:02:08,"2021,11,02"
10008,Chrysler 200,Chrysler,2015,Limited FWD,"11,995","74,999",Fresno, CA,Gray,Black,1,2,Fleet,00:02:08,"2021,11,02"
10009,Toyota Corolla,Toyota,2020,LE CVT,"18,659","48,408",Houston, TX,White,Black,0,1,Personal,00:02:08,"2021,11,02"
10010,Ford Super Duty F-250,Ford,2019,XL 4WD Crew Cab 6.75' Box,"37,995","84,166",Addison, TX,White,Unknown,0,1,Personal,00:02:08,"2021,11,02"
10011,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"33,888","34,065",Temecula, CA,White,Black,0,2,Personal,00:02:08,"2021,11,02"
10012,Chevrolet Silverado 1500,Chevrolet,2018,LT Crew Cab Short Box 4WD,"24,999","104,319",Smyrna, GA,White,Brown,0,2,Fleet,00:02:08,"2021,11,02"
10013,Nissan Rogue,Nissan,2016,S FWD,"12,000","80,599",Houston, TX,Black,Black,0,2,Personal,00:02:08,"2021,11,02"
