,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
10039,Ford Explorer,Ford,2018,XLT FWD,20475,92814,Wesley Chapel, FL,Black,Black,0,1,Personal,15:13:35,"2021,11,04"
10040,Jeep Cherokee,Jeep,2019,Limited 4WD,27995,19027,Sussex, NJ,Gray,Black,0,2,Personal,15:13:35,"2021,11,04"
10041,Ford F-150,Ford,2018,XLT SuperCab 6.5' Box 4WD,19800,174183,Deland, FL,White,Gray,0,2,Fleet,15:13:35,"2021,11,04"
10042,Jeep Compass,Jeep,2018,Latitude 4WD,19899,47486,Canandaigua, NY,Gray,Black,0,2,Personal,15:13:35,"2021,11,04"
10043,Nissan Altima,Nissan,2015,2.5 S,11995,92366,Tempe, AZ,White,Black,1,2,Fleet,15:13:35,"2021,11,04"
10044,Nissan Sentra,Nissan,2019,S CVT,16500,32968,COSTA MESA, CA,Gray,Black,0,1,Personal,15:13:35,"2021,11,04"
10045,Toyota Tacoma,Toyota,2017,TRD Sport Double Cab 5' Bed V6 4WD Manual,34428,33115,Roseville, CA,Black,Gray,0,2,Personal,15:13:35,"2021,11,04"
10046,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,30000,97484,Davenport, IA,White,Gray,0,1,Personal,15:13:35,"2021,11,04"
10047,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,26998,44978,Sacramento, CA,Black,Black,0,2,Fleet,15:13:35,"2021,11,04"
10048,Toyota Corolla,Toyota,2020,LE CVT,20995,43801,Starke, FL,Gray,Unknown,0,3,Personal,15:13:35,"2021,11,04"
10049,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,18800,52183,Gainesville, FL,Black,Black,1,2,Personal,15:13:35,"2021,11,04"
10050,Ford Super Duty F-250,Ford,2019,Lariat 4WD Crew Cab 6.75' Box,56000,14791,Manor, TX,White,Unknown,0,1,Fleet,15:13:35,"2021,11,04"
10051,Jeep Cherokee,Jeep,2019,Limited 4WD,27599,35000,Carmel, NY,White,Black,1,1,Personal,15:13:35,"2021,11,04"
10052,Ford F-150,Ford,2018,King Ranch SuperCrew 5.5' Box 4WD,39991,56369,Dallas, TX,Gray,Gray,0,1,Personal,15:13:35,"2021,11,04"
10053,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,35964,45656,Cornelius, NC,Gray,Unknown,0,2,Personal,15:13:35,"2021,11,04"
10054,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,25900,125276,Lewisville, TX,White,Unknown,0,1,Personal,15:13:35,"2021,11,04"
10055,Kia Soul,Kia,2020,LX IVT,17995,28205,Daytona Beach, FL,Black,Black,0,1,Personal,15:13:35,"2021,11,04"
10056,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,32277,90055,Missoula, MT,White,Unknown,0,1,Personal,15:13:37,"2021,11,04"
10057,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,35995,53363,Rugby, ND,White,Unknown,0,3,Personal,15:13:37,"2021,11,04"
10058,Buick Encore,Buick,2019,Preferred FWD,15500,56973,Houston, TX,Silver,Gray,1,3,Fleet,15:13:37,"2021,11,04"
10059,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,37695,10947,Tucson, AZ,White,Black,0,1,Personal,15:13:37,"2021,11,04"
10060,Nissan Sentra,Nissan,2019,S CVT,11998,98435,Roswell, GA,White,Black,0,2,Personal,15:13:37,"2021,11,04"
10061,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,44360,15284,Virginia Beach, VA,White,Black,0,1,Personal,15:13:37,"2021,11,04"
10062,Honda Civic,Honda,2012,LX Sedan Automatic,10499,95302,El Cajon, CA,Black,Gray,1,2,Personal,15:13:37,"2021,11,04"
10063,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,29992,52841,Fairfield, CA,White,Black,0,1,Personal,15:13:37,"2021,11,04"
10064,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,39898,21387,Wood River, IL,White,Gray,0,1,Personal,15:13:37,"2021,11,04"
10065,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 2WD,22995,158541,Grand Prairie, TX,White,Unknown,0,1,Fleet,15:13:37,"2021,11,04"
10066,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 2WD,27395,84101,Angleton, TX,White,Gray,0,1,Personal,15:13:37,"2021,11,04"
10067,Ford F-150,Ford,2020,XLT SuperCrew 5.5' Box 4WD,39093,23647,Vancouver, WA,Black,Unknown,0,1,Personal,15:13:37,"2021,11,04"
10068,Ford F-150,Ford,2014,XLT Regular Cab 8.0' Box RWD,15751,110056,Ocala, FL,White,Gray,0,2,Personal,15:13:37,"2021,11,04"
10069,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,38995,28178,Suffolk, VA,White,Gray,0,1,Personal,15:13:37,"2021,11,04"
10070,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",37676,47428,Fort Wayne, IN,White,Black,0,2,Personal,15:13:37,"2021,11,04"
10071,Nissan Sentra,Nissan,2019,SV CVT,13850,92244,COSTA MESA, CA,White,Black,0,1,Personal,15:13:37,"2021,11,04"
10072,Chevrolet Cruze,Chevrolet,2018,LS with 1SB Sedan Automatic,9998,150514,Lubbock, TX,Black,Black,0,1,Personal,15:13:37,"2021,11,04"
10073,Ford F-150,Ford,2016,XLT SuperCrew 5.5' Box 4WD,30977,63776,Columbus, GA,Black,Unknown,0,1,Personal,15:13:37,"2021,11,04"
10074,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,17900,28284,Delray Beach, FL,White,Black,0,1,Personal,15:13:37,"2021,11,04"
10075,Chevrolet Malibu,Chevrolet,2019,LT with 1LT,13500,121478,Jacksonville, FL,Black,Black,1,1,Personal,15:13:37,"2021,11,04"
10076,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,35495,26824,Quakertown, PA,Black,Black,0,1,Personal,15:13:37,"2021,11,04"
10077,Kia Forte,Kia,2017,LX Sedan Automatic,9994,91472,Pasadena, TX,Black,Gray,0,1,Personal,15:13:37,"2021,11,04"
10078,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,35070,37264,Vancouver, WA,Blue,Unknown,0,1,Personal,15:13:37,"2021,11,04"
10079,Ford F-150,Ford,2018,XLT SuperCrew 6.5' Box 4WD,27995,57858,Portland, OR,Blue,Black,0,2,Personal,15:13:37,"2021,11,04"
10080,Ford F-150,Ford,2018,XL SuperCrew 6.5' Box 4WD,25995,110230,Austin, TX,White,Gray,0,1,Fleet,15:13:37,"2021,11,04"
10081,Hyundai Sonata,Hyundai,2017,Base 2.4L,11000,120018,Houston, TX,Gray,Gray,0,3,Personal,15:13:37,"2021,11,04"
10082,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,33184,53356,Fort Wayne, IN,Black,Gray,0,1,Fleet,15:13:37,"2021,11,04"
10083,Nissan Rogue,Nissan,2018,SV AWD,14999,194905,New Richmond, WI,White,Black,0,2,Personal,15:13:37,"2021,11,04"
10084,Ford Fusion,Ford,2017,SE FWD,13677,108861,Georgetown, TX,White,Unknown,1,3,Fleet,15:13:37,"2021,11,04"
10085,Ford F-150,Ford,2016,XLT SuperCrew 5.5' Box RWD,15993,261085,Swainsboro, GA,Silver,Gray,1,2,Personal,15:13:37,"2021,11,04"
10086,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,20994,21792,Easton, PA,Black,Black,0,1,Personal,15:13:39,"2021,11,04"
10087,Dodge Grand Caravan,Dodge,2019,SXT,18900,91197,El Paso, TX,Black,Black,0,2,Personal,15:13:39,"2021,11,04"
10088,Ford F-150,Ford,2018,Lariat SuperCrew 5.5' Box 2WD,35179,14273,Thatcher, AZ,White,Unknown,0,1,Personal,15:13:39,"2021,11,04"
10089,Toyota Tundra,Toyota,2019,SR5 CrewMax 5.5' Bed 5.7L FFV 4WD,41810,53636,Lubbock, TX,Gray,Black,0,1,Personal,15:13:39,"2021,11,04"
10090,Chevrolet Malibu,Chevrolet,2020,LT,22992,48648,Fayetteville, NC,Silver,Black,1,1,Fleet,15:13:39,"2021,11,04"
10091,Ford F-150,Ford,2014,XL SuperCrew 5.5' Box 4WD,19995,103834,Ventura, CA,White,Black,0,1,Fleet,15:13:39,"2021,11,04"
10092,Nissan Altima,Nissan,2019,S FWD,20495,33200,Fresno, CA,Gray,Black,0,1,Personal,15:13:39,"2021,11,04"
10093,Ford Explorer,Ford,2018,XLT FWD,29995,51914,Brownsville, TX,Black,Black,0,2,Fleet,15:13:39,"2021,11,04"
10094,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,37815,37577,Gallatin, TN,Red,Black,0,2,Fleet,15:13:39,"2021,11,04"
10095,Chevrolet Equinox,Chevrolet,2018,LT with 1LT FWD,19755,41002,Lima, OH,Blue,Black,2,1,Personal,15:13:39,"2021,11,04"
10096,Buick Encore,Buick,2019,Essence FWD,19998,22568,Daytona Beach, FL,White,Black,0,1,Personal,15:13:39,"2021,11,04"
10097,Ford Fusion,Ford,2014,SE FWD,10995,98841,Fresno, CA,Black,Beige,0,2,Personal,15:13:39,"2021,11,04"
10098,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,31590,90628,Nashville, TN,White,Gray,0,2,Personal,15:13:39,"2021,11,04"
10099,Kia Optima,Kia,2016,LX,9500,108449,Houston, TX,Black,Black,0,3,Fleet,15:13:39,"2021,11,04"
10100,Kia Forte,Kia,2019,LXS IVT,17799,21027,Gainesville, FL,White,Black,0,3,Personal,15:13:39,"2021,11,04"
10101,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,19000,60713,San Diego, CA,White,Black,0,2,Personal,15:13:39,"2021,11,04"
10102,Nissan Altima,Nissan,2016,2.5 S,13495,78544,Fresno, CA,Blue,Black,1,2,Fleet,15:13:39,"2021,11,04"
10103,Jeep Cherokee,Jeep,2019,Limited 4WD,28033,49238,Glen Mills, PA,Black,Black,0,2,Personal,15:13:39,"2021,11,04"
10104,Ford F-150,Ford,2019,Platinum SuperCrew 5.5' Box 4WD,57999,41237,Oroville, CA,Gray,Black,0,2,Personal,15:13:39,"2021,11,04"
10105,Ford Super Duty F-250,Ford,2019,XLT 4WD Crew Cab 6.75' Box,46998,1883,Ukiah, CA,Black,Unknown,1,1,Fleet,15:13:39,"2021,11,04"
10106,Chevrolet Equinox,Chevrolet,2018,LT with 1LT FWD,20500,64274,Gainesville, FL,Black,Black,1,1,Fleet,15:13:39,"2021,11,04"
10107,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,40719,39863,Fayetteville, NC,Gray,Gray,0,2,Personal,15:13:39,"2021,11,04"
10108,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,37995,32076,Burlington, WA,White,Gray,0,2,Personal,15:13:39,"2021,11,04"
10109,Nissan Rogue,Nissan,2018,SV AWD,21992,36035,Wappingers Falls, NY,Black,Black,1,1,Personal,15:13:39,"2021,11,04"
10110,Toyota Corolla,Toyota,2019,LE CVT,17989,32340,Columbus, GA,White,Gray,1,2,Personal,15:13:39,"2021,11,04"
10111,Ford Super Duty F-250,Ford,2019,Lariat 4WD Crew Cab 6.75' Box,45870,132893,Frisco, TX,White,Black,0,1,Personal,15:13:39,"2021,11,04"
10112,Hyundai Elantra,Hyundai,2019,SEL 2.0L Automatic,14999,63133,Ft. Myers, FL,Blue,Gray,0,2,Personal,15:13:39,"2021,11,04"
10113,Volkswagen Jetta,Volkswagen,2019,S Automatic,17638,33749,Pleasanton, CA,White,Black,0,1,Personal,15:13:39,"2021,11,04"
10114,Nissan Rogue,Nissan,2018,SV AWD,22990,32550,Blue Mound, TX,Black,Black,0,1,Personal,15:13:39,"2021,11,04"
10115,Ford Escape,Ford,2018,SE 4WD,11999,123233,Circleville, OH,Black,Black,0,3,Fleet,15:13:39,"2021,11,04"
10116,Ford Edge,Ford,2018,SEL AWD,19995,95132,West Seneca, NY,White,Black,1,1,Personal,15:13:41,"2021,11,04"
10117,Nissan Altima,Nissan,2015,2.5 S,11990,70592,Blue Mound, TX,White,Black,0,3,Personal,15:13:41,"2021,11,04"
10118,Ford Edge,Ford,2020,SEL FWD,26421,41173,Columbus, TX,Black,Black,0,2,Fleet,15:13:41,"2021,11,04"
10119,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,37491,39692,Lowell, MA,Black,Gray,0,2,Personal,15:13:41,"2021,11,04"
10120,Chevrolet Silverado 1500,Chevrolet,2018,LTZ Crew Cab Short Box 4WD,39998,54940,Zebulon, NC,White,Brown,1,1,Personal,15:13:41,"2021,11,04"
10121,Nissan Rogue,Nissan,2019,SV FWD,19765,60365,El Paso, TX,Black,Black,1,2,Personal,15:13:41,"2021,11,04"
10122,Ford Explorer,Ford,2018,XLT 4WD,32386,22941,Virginia Beach, VA,Black,Black,0,1,Fleet,15:13:41,"2021,11,04"
10123,Toyota Corolla,Toyota,2019,LE CVT,18485,29560,Pembroke Pines, FL,White,Gray,0,1,Personal,15:13:41,"2021,11,04"
10124,Ford Super Duty F-350,Ford,2019,XL 4WD Crew Cab 6.75' Box SRW,39900,93746,Abilene, TX,White,Gray,1,1,Personal,15:13:41,"2021,11,04"
10125,Jeep Cherokee,Jeep,2019,Limited 4WD,26999,35418,Brooklyn Center, MN,White,Black,0,1,Personal,15:13:41,"2021,11,04"
10126,Toyota Tacoma,Toyota,2019,TRD Pro Double Cab 5' Bed V6 4WD Automatic,43465,33277,El Paso, TX,Gray,Unknown,0,1,Personal,15:13:41,"2021,11,04"
10127,Toyota Corolla,Toyota,2020,LE CVT,22995,9500,Santee, CA,White,Gray,0,2,Personal,15:13:41,"2021,11,04"
10128,Ford Super Duty F-250,Ford,2017,King Ranch Crew Cab 6.75' Bed 4WD,39990,158091,Weatherford, TX,Black,Brown,0,2,Personal,15:13:41,"2021,11,04"
10129,Ford Fusion,Ford,2014,SE FWD,9999,109000,Sacramento, CA,Black,Black,0,1,Personal,15:13:41,"2021,11,04"
10130,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",39899,27207,Morehead, KY,Black,Black,0,2,Fleet,15:13:41,"2021,11,04"
10131,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,37995,54490,Alcoa, TN,Silver,Gray,0,2,Personal,15:13:41,"2021,11,04"
10132,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,34695,43923,Merrillville, IN,Black,Black,0,1,Personal,15:13:41,"2021,11,04"
10133,INFINITI QX60,INFINITI,2018,3.5 AWD,23452,54799,Freeport, NY,White,Gray,1,1,Personal,15:13:41,"2021,11,04"
